pk_id,image_cap,image_obj
29,"['a vase filled with flowers on top of a table .', 'a vase filled with flowers sitting on top of a table .', 'a vase filled with flowers sitting on a table .']","['pot, flowerpot']"
30,"['a close up of a cake on a table', 'a close up of a cake with a train on it', 'a close up of a blue and white cake']","['comic book', 'altar']"
31,"['a close up of a person holding a remote control', 'a close up of a mouse on a table', 'a close up of a person holding a remote']","['mouse, computer mouse']"
32,"['a group of people standing in front of a building .', 'a group of people standing in front of a tall building .', 'a group of people standing in front of a large building .']","['sports car, sport car', 'racer, race car, racing car']"
33,"['a man holding a white frisbee in his right hand .', 'a group of people standing in front of a sign .', 'a man holding a white frisbee in his right hand']","['web site, website, internet site, site', 'remote control, remote']"
34,"['a close up of a flower in a tree', 'a close up of a plant with many leaves', 'a close up of a flower in a tree .']","['pot, flowerpot', 'earthstar']"
35,"['a birthday cake that has been decorated with flowers .', 'a birthday cake with candles on a table', 'a birthday cake that has been decorated with flowers']",['altar']
36,"['a man standing on top of a surfboard on a beach .', 'a group of people standing on top of a surfboard .', 'a man standing on top of a surfboard in the water .']","['comic book', 'book jacket, dust cover, dust jacket, dust wrapper']"
37,"['a close up of a person holding a cell phone', 'a close up of a person holding a wii remote', 'a close up of a person holding a nintendo wii remote']","['hand-held computer, hand-held microcomputer', 'screen, CRT screen']"
38,"['a close up of a person holding a cell phone', 'a close up of a person holding a wii remote', 'a close up of a person holding a nintendo wii remote']","['hand-held computer, hand-held microcomputer', 'screen, CRT screen']"
39,"['a group of people standing on top of a lush green field .', 'a group of people on a field with a soccer ball .', 'a group of people standing on top of a field .']","['soccer ball', 'volleyball']"
40,"['a man and a woman standing next to each other .', 'a man and a woman standing next to each other in a forest .', 'a man in a suit and tie standing in front of a tree .']","['trench coat', 'suit, suit of clothes']"
41,"['a person holding a cell phone in their hand .', 'a person holding a cell phone in their hands .', 'a person holding a cell phone in their hand']","['web site, website, internet site, site']"
42,"['a black and white photo of a man in a dark room .', 'a black and white photo of a man in a dark room', 'a black and white photo of a man in a room']","['matchstick', 'nematode, nematode worm, roundworm']"
43,"['a close up of a baseball glove on a table', 'a close up of a baseball glove with a baseball glove', 'a close up of a baseball glove with a glove']",['comic book']
44,"['a young boy holding a skateboard in his hand .', 'a young boy holding a skateboard in his hands .', 'a young boy is holding a skateboard in his hand .']","['sarong', 'flute, transverse flute']"
45,"['a person riding a surf board on a wave', 'a group of people riding surfboards on top of a wave .', 'a person riding a surf board on a body of water']","['seashore, coast, seacoast, sea-coast', 'coral reef']"
46,"['a group of people standing in front of a tall building .', 'a group of people standing in front of a large building .', 'a group of people standing in front of a building with a clock .']","['palace', 'bell cote, bell cot']"
47,"['a group of people standing on top of a lush green field .', 'a group of people standing on a lush green field .', 'a group of people standing on top of a grass covered field .']","['lakeside, lakeshore', 'balloon']"
48,"['a park bench sitting in the middle of a park .', 'a park bench sitting in the middle of a forest .', 'a wooden bench sitting in a park next to a tree .']","['steel arch bridge', 'crane']"
49,"['a street sign on the side of a road .', 'a street sign on a city street', 'a street sign on the side of a street .']","['moving van', 'trailer truck, tractor trailer, trucking rig, rig, articulated lorry, semi']"
50,"['a group of people flying kites in the sky .', 'a group of people flying kites in a field .', 'a group of people standing in a field with kites .']","['dome', 'umbrella']"
51,"['a close up of a person laying on a bed', 'a close up of a persons feet on a bed', 'a close up of a person holding a pair of scissors']",
52,"['a vase filled with flowers on top of a table .', 'a vase filled with flowers on top of a wooden table .', 'a vase filled with purple flowers on top of a table .']","['pot, flowerpot', 'rain barrel']"
53,"['a close up of a person laying on a bed', 'a close up of a persons feet on a bed', 'a close up of a person holding a pair of scissors']",
54,"['a person riding a surf board on a wave', 'a group of people riding surfboards on top of a wave .', 'a person riding a surf board on a body of water']","['seashore, coast, seacoast, sea-coast', 'coral reef']"
55,"['a group of people standing in a living room .', 'a group of people standing in a room .', 'a group of people standing in a living room']","['overskirt', 'sarong']"
56,"['a display of teddy bears in a store .', 'a display of teddy bears in a display case .', 'a display of teddy bears in a shop .']","['altar', 'confectionery, confectionary, candy store']"
57,"['a room with a large clock on the wall .', 'a room with a large clock on the wall', 'a room with a large clock on it']","['palace', 'altar']"
58,"['a kite flying in the sky over a mountain .', 'a kite flying in the sky over a city .', 'a kite flying in the sky over a mountain']","['tank, army tank, armored combat vehicle, armoured combat vehicle', 'cannon']"
59,"['a bird perched on top of a tree branch .', 'a tree with a bunch of green leaves on it', 'a tree with a bunch of green leaves in it']","['proboscis monkey, Nasalis larvatus', 'lemon']"
60,"['a bunch of different types of electronics on a table .', 'a bunch of different types of items on a table .', 'a bunch of different types of items on display .']","['switch, electric switch, electrical switch', 'oscilloscope, scope, cathode-ray oscilloscope, CRO']"
61,"['a black and white photo of a dog laying on a bed .', 'a black and white photo of a dog laying on a bed', 'a black and white photo of a cat laying on a bed .']","['comic book', 'book jacket, dust cover, dust jacket, dust wrapper']"
62,"['a cat laying on the floor next to a person .', 'a cat laying on the floor next to a person', 'a cat laying on the floor next to a woman .']","['Egyptian cat', 'tabby, tabby cat']"
63,"['a man is holding a frisbee in his hand .', 'a man is holding a frisbee in his hands .', 'a man is holding a frisbee in his hand']","['horizontal bar, high bar', 'swing']"
64,"['a traffic light sitting on the side of a road .', 'a traffic light sitting on the side of a street .', 'a street light with a street sign on it']","['crane', 'pole']"
65,"['a crowd of people standing in a field flying kites .', 'a crowd of people standing in a park flying kites .', 'a crowd of people standing around a large crowd of people .']","['West Highland white terrier', 'stage']"
66,"['a man in a white shirt and black pants holds a baseball bat .', 'a man in a white shirt and black pants is playing baseball', 'a man in a white shirt and black pants is playing baseball .']","['maillot', 'ping-pong ball']"
67,"['a woman in a white shirt and tie', 'a woman in a white shirt and black tie', 'a woman in a white shirt and black hair']","['lipstick, lip rouge', 'perfume, essence']"
68,"['a man flying a kite in a cloudy sky .', 'a man flying a kite in the snow .', 'a man flying a kite in the sky .']","['goldfish, Carassius auratus', 'volcano']"
69,"['a group of people standing in a room .', 'a group of people standing in a living room .', 'a group of people standing in a room with a table .']","['vestment', 'maypole']"
70,"['a birthday cake with a train on it', 'a birthday cake with a train on it .', 'a birthday cake with a train on the top .']","['tray', 'packet']"
71,"['a man holding a baseball bat in his hands .', 'a man holding a baseball bat on a baseball field .', 'a man holding a baseball bat in his hand .']","['racket, racquet', 'torch']"
72,"['a young boy wearing a catchers mitt on a baseball field .', 'a young boy wearing a catchers mitt on top of a field .', 'a young boy wearing a catchers mitt on top of a baseball field .']","['ping-pong ball', 'soccer ball']"
73,"['a book shelf filled with lots of books .', 'a book shelf filled with lots of books and books .', 'a book shelf filled with lots of books and a clock .']","['book jacket, dust cover, dust jacket, dust wrapper', 'bookshop, bookstore, bookstall']"
74,"['a view of a clock tower in the distance .', 'a view of a city skyline from a plane .', 'a view of a clock tower in the middle of a city .']","['airship, dirigible', 'alp']"
75,"['a man in a suit and tie standing in a room .', 'a man in a suit and tie standing in a room', 'a man in a suit and tie standing in front of a wall .']","['suit, suit of clothes', 'Windsor tie']"
76,"['a group of people standing next to a giant teddy bear .', 'a group of people standing next to each other .', 'a group of people standing next to a large teddy bear .']","['book jacket, dust cover, dust jacket, dust wrapper', 'comic book']"
77,"['a woman sitting at a table with a laptop .', 'a woman sitting at a desk with a laptop .', 'a woman sitting at a table with a laptop computer .']",['shoji']
78,"['a woman standing in front of a display of oranges .', 'a woman standing in front of a display of fruit .', 'a woman standing in front of a display of oranges']","['tobacco shop, tobacconist shop, tobacconist', 'vestment']"
79,"['a large building with a clock on it .', 'a large building with a large clock on it .', 'a large building with a clock on it']","['stupa, tope', 'carousel, carrousel, merry-go-round, roundabout, whirligig']"
80,"['a picture of a person holding a sign .', 'a picture of a person holding a book .', 'a picture of a person holding a book']","['web site, website, internet site, site', 'book jacket, dust cover, dust jacket, dust wrapper']"
81,"['a plate of food with a fork and a spoon .', 'a plate of food with a fork and a spoon', 'a plate of food that includes eggs , sausage and tomatoes .']","['face powder', 'French loaf']"
82,"['a baseball player swinging a bat at a ball', 'a baseball player swinging a bat on a field', 'a baseball player holding a bat on a field .']","['knee pad', 'pole']"
83,"['a man in a baseball uniform holding a bat .', 'a man in a baseball uniform holding a baseball bat .', 'a baseball player is holding a baseball bat']","['ping-pong ball', 'jersey, T-shirt, tee shirt']"
84,"['a group of people sitting around a table .', 'a group of people sitting around a table eating food .', 'a group of people sitting around a table with food .']","['candle, taper, wax light', 'altar']"
85,"['a woman laying on a bed with a teddy bear .', 'a woman laying in bed with a teddy bear .', 'a woman sitting on a bed with a teddy bear .']","['harmonica, mouth organ, harp, mouth harp']"
86,"['a close up of a flower in a vase', 'a close up of a vase with flowers in it', 'a close up of a flower in a vase on a table']","['feather boa, boa', 'cardoon']"
87,"['a group of people flying kites in a field .', 'a group of people standing on top of a lush green field .', 'a group of people standing on top of a sandy beach .']","['lakeside, lakeshore', 'seashore, coast, seacoast, sea-coast']"
88,"['a couple of people are flying a kite', 'a couple of people standing on top of a lush green field .', 'a couple of people standing on top of a grass covered field .']",['geyser']
89,"['a man holding a tennis racquet on a tennis court .', 'a man holding a tennis racquet on top of a tennis court .', 'a young man holding a tennis racquet on a tennis court .']","['racket, racquet', 'tennis ball']"
90,"['a fire hydrant in the middle of a street .', 'a fire hydrant in the middle of a sidewalk .', 'a fire hydrant in the middle of a road .']","['lakeside, lakeshore', 'mobile home, manufactured home']"
91,"['an airplane flying over a large body of water .', 'an airplane flying over a large body of water', 'a view of a city skyline from the sky .']","['seashore, coast, seacoast, sea-coast', 'beacon, lighthouse, beacon light, pharos']"
92,"['a man in a suit and tie standing in a room .', 'a man in a suit and tie standing in a room', 'a man in a suit and tie standing in a kitchen .']","['Windsor tie', 'lab coat, laboratory coat']"
93,"['a large elephant standing on top of a dirt field .', 'a large elephant standing on top of a sandy beach .', 'a large elephant standing on top of a lush green field .']","['ibex, Capra ibex', 'bighorn, bighorn sheep, cimarron, Rocky Mountain bighorn, Rocky Mountain sheep, Ovis canadensis']"
94,"['a man is holding a kite in a field', 'a man is holding a kite in a field .', 'a man in a field with a kite']",['plastic bag']
95,"['a white teddy bear sitting on top of a book .', 'a white teddy bear sitting on top of a laptop .', 'a white teddy bear sitting on top of a laptop computer .']","['web site, website, internet site, site']"
96,"['a bench sitting in the middle of a lush green field .', 'a bench sitting in the middle of a field .', 'a bench sitting in a field next to a river .']","['lakeside, lakeshore', 'dam, dike, dyke']"
97,"['a large building with a clock tower on top .', 'a large building with a clock tower in the middle .', 'a large building with a clock tower in the middle of it .']","['palace', 'bell cote, bell cot']"
98,"['a close up of a pair of scissors', 'a close up of a pair of scissors on a table', 'a close up of a box with a sticker on it']","['menu', 'binder, ring-binder']"
99,"['a close up of a person holding a cell phone', 'a close up of a keyboard and a mouse', 'a close up of a computer keyboard and a mouse .']","['harmonica, mouth organ, harp, mouth harp', 'cellular telephone, cellular phone, cellphone, cell, mobile phone']"
100,"['a statue of a man on a horse .', 'a statue of a man on a horse', 'a statue of a man on a horse in front of a building .']","['flagpole, flagstaff']"
101,"['a man in white shirt and black shorts playing frisbee .', 'a man in white shirt and black shorts playing a game of frisbee .', 'a man in a red shirt is playing frisbee']","['web site, website, internet site, site', 'ballplayer, baseball player']"
102,"['a close up of a baseball player with a glove', 'a close up of a baseball glove with a glove', 'a close up of a person wearing a mask']","['jersey, T-shirt, tee shirt']"
103,"['a picture of a man holding a cell phone .', 'a picture of a man holding a skateboard .', 'a picture of a man in a suit and tie .']","['book jacket, dust cover, dust jacket, dust wrapper', 'sunscreen, sunblock, sun blocker']"
104,"['a boat that is floating in the water .', 'a boat that is sitting in the water .', 'a boat that is floating in the water']",['fireboat']
105,"['a group of men playing a game of soccer .', 'a group of people playing soccer on a field', 'a group of men playing a game of soccer on a field .']","['knee pad', 'soccer ball']"
106,"['a group of people standing next to each other .', 'a group of people standing next to each other holding umbrellas .', 'a group of people standing next to each other holding a bunch of kites .']","['altar', 'vestment']"
107,"['a bunch of ripe bananas sitting on top of a table .', 'a bunch of bananas that are on a table .', 'a bunch of ripe bananas sitting on top of a counter .']",['banana']
108,"['a man sitting on a bench next to a pile of luggage .', 'a man sitting on a bench next to a pile of garbage .', 'a man sitting on a bench next to a woman .']","['sleeping bag', 'bulletproof vest']"
109,"[""a sign that reads `` <UNK> '' on the side of a building ."", ""a sign that reads `` <UNK> '' on a street sign ."", ""a sign that reads `` <UNK> '' on the side of the road .""]","['brass, memorial tablet, plaque', 'doormat, welcome mat']"
110,"['a pair of skis sitting on top of a snow covered slope .', 'a man holding a snowboard on top of a snow covered slope .', 'a pair of skis sitting on top of a snow covered ground .']","['envelope', 'web site, website, internet site, site']"
111,"['a red double decker bus driving down a street .', 'a red double decker bus traveling down a street .', 'a red double decker bus driving past a tall building .']","['triumphal arch', 'palace']"
112,"['a large body of water with a sky background', 'a large body of water with mountains in the background .', 'a large body of water with a mountain in the background .']","['seashore, coast, seacoast, sea-coast', 'lakeside, lakeshore']"
113,"['a bunch of flowers that are in a vase .', 'a bunch of flowers that are sitting on a table .', 'a bunch of flowers that are in a vase']","['gyromitra', 'candle, taper, wax light']"
114,"['a man in a suit and tie standing in a room .', 'a man in a suit and tie standing in front of a door .', 'a man in a suit and tie standing in front of a mirror .']","[""academic gown, academic robe, judge's robe"", 'vestment']"
115,"['a woman holding a pair of scissors in her hands .', 'a woman holding a teddy bear in her hands .', 'a woman holding a pair of scissors in her hand .']","['mask', 'hair slide']"
116,"['a group of people standing around a cake .', 'a group of people sitting on top of a table .', 'a group of people sitting on top of a couch .']","['jigsaw puzzle', 'comic book']"
117,"['a man riding a wave on top of a surfboard .', 'a person riding a surf board on a wave', 'a man riding a surfboard on top of a wave .']","['dam, dike, dyke', 'valley, vale']"
118,"['a close up of a nintendo wii remote', 'a close up of a remote control on a table', 'a close up of a nintendo wii controller']","['remote control, remote', 'iPod']"
119,"['a group of men standing next to each other .', 'a group of men standing next to each other on a street .', 'a group of men standing next to each other in a parking lot .']",['torch']
120,"['a small airplane sitting on top of a field .', 'a small airplane sitting on top of a lush green field .', 'a small airplane sitting on top of a grass covered field .']","['drum, membranophone, tympan', 'gong, tam-tam']"
121,"['a group of people riding motorcycles down a street .', 'a group of people riding bikes down a street .', 'a group of people riding motorcycles down a road .']","['moped', 'motor scooter, scooter']"
122,"['a dog and a cat are playing with each other .', 'a black and white dog laying on a couch .', 'a black and white dog laying on top of a couch .']","['American Staffordshire terrier, Staffordshire terrier, American pit bull terrier, pit bull terrier', 'beagle']"
123,"['a plane flying over a large body of water .', 'a plane flying over a large body of water', 'a plane flying over a large body of water with a sky background']","['beacon, lighthouse, beacon light, pharos', 'breakwater, groin, groyne, mole, bulwark, seawall, jetty']"
124,"['a group of men standing next to each other .', 'a group of people standing next to each other .', 'a group of men standing next to each other on a field .']","['web site, website, internet site, site']"
125,"['a close up of a vase with flowers in it', 'a close up of a vase with flowers on it', 'a close up of a vase with flowers in the background']","['buckle', 'ashcan, trash can, garbage can, wastebin, ash bin, ash-bin, ashbin, dustbin, trash barrel, trash bin']"
126,"['a tree with a bunch of unripe bananas hanging from it .', 'a large tree with lots of unripe bananas .', 'a large tree with lots of unripe bananas hanging from it .']","['jackfruit, jak, jack', 'indri, indris, Indri indri, Indri brevicaudatus']"
127,"['a bunch of boats that are in the water .', 'a bunch of boats that are sitting in the water .', 'a bunch of boats that are in a body of water']","['seashore, coast, seacoast, sea-coast', 'lakeside, lakeshore']"
128,"['a group of people sitting on a park bench .', 'a group of people sitting on a bench in a forest .', 'a group of people sitting on a bench in a park .']",['swing']
129,"['a man in a suit and tie posing for a picture .', 'a man in a suit and tie standing in front of a building .', 'a man in a suit and tie posing for a picture']","['suit, suit of clothes', 'Windsor tie']"
130,"['a man flying through the air while riding a snowboard .', 'a man flying through the air while riding a skateboard .', 'a man flying through the air on top of a snowboard .']","['cliff, drop, drop-off']"
131,"['a group of people sitting on a park bench .', 'a group of people sitting on a bench in a forest .', 'a group of people sitting on a bench in a park .']",['swing']
132,"['a group of people sitting around a table .', 'a group of people sitting around a table with food .', 'a group of people sitting at a table with food .']","['lab coat, laboratory coat', 'library']"
133,"['a woman in a dress holding a surfboard .', 'a woman standing next to a man holding a surfboard .', 'a woman standing next to a man on a skateboard .']","['overskirt', 'sarong']"
134,"['a group of young men playing a game of soccer .', 'a group of men playing a game of soccer .', 'a group of people playing soccer on a field']","['soccer ball', 'volleyball']"
135,"['a red car with a surfboard on top of it .', 'a red car with a surfboard strapped to it .', 'a red car with a surfboard strapped to the back .']","['sports car, sport car', 'convertible']"
136,"['a group of men standing next to each other .', 'a man and a woman standing next to each other .', 'a group of men standing next to each other in a room .']","['lab coat, laboratory coat', 'Windsor tie']"
137,"['a close up of a person laying on a bed', 'a close up of a persons feet on a bed', 'a close up of a person holding a pair of scissors']",
138,"['a man in a suit and tie holding a cup .', 'a man in a white shirt and a tie', 'a man in a suit and tie holding a drink .']","['lab coat, laboratory coat', 'Windsor tie']"
139,"['a bottle of beer and a bottle of beer .', 'a bottle of beer sitting next to a bottle of beer .', 'a bottle of beer and a bottle of beer']","['packet', 'pop bottle, soda bottle']"
140,"['a car parked on the side of the road .', 'a car parked on the side of the road', 'a car parked on the side of a road with a surfboard on top of it .']","['sports car, sport car', 'racer, race car, racing car']"
141,"['a man in a suit and tie holding a microphone .', 'a man in a suit and tie holding a cell phone .', 'a man in a suit and tie holding a microphone']","['ping-pong ball', 'bassoon']"
142,"['a man in a suit and tie standing in a room .', 'a man in a suit and tie standing in front of a microphone .', 'a man in a suit and tie standing in a room']","['suit, suit of clothes', 'Windsor tie']"
143,"['a group of people standing on top of a lush green field .', 'a group of people standing in a field flying kites .', 'a group of people standing on a lush green field flying kites .']","['flagpole, flagstaff', 'pole']"
144,"['a vase of flowers sitting on a table .', 'a vase of flowers sitting on a table', 'a vase of flowers is sitting on a table .']","['daisy', 'bee']"
145,"['a man and a woman are sitting on a bench .', 'a man and a woman are sitting on a couch', 'a man and a woman are sitting on a bench']","['altar', 'throne']"
146,"['a large building with a large clock tower .', 'a large stone building with a large clock tower .', ""a large building with a large clock on it 's side .""]","['monastery', 'dam, dike, dyke']"
147,"['a group of young men standing next to each other .', 'a group of young children standing next to each other .', 'a group of young people standing next to each other .']","['prison, prison house', 'Windsor tie']"
148,"['a large blue and white kite flying in the sky .', 'a large white and blue kite flying in the sky .', 'a blue and white kite flying in the sky .']","['catamaran', 'trimaran']"
149,"['a close up of a stuffed animal on a table', 'a close up of a stuffed animal on a shelf', 'a close up of a stuffed animal on a desk']","['plastic bag', 'packet']"
150,"['a bunch of doughnuts are in a box', 'a bunch of doughnuts that are on a table .', 'a bunch of doughnuts that are in a box']","['bakery, bakeshop, bakehouse', 'French loaf']"
151,"['a young girl is brushing her teeth with a baby .', 'a young girl is brushing her teeth with a stuffed animal .', 'a young girl is brushing her teeth with a stuffed bear .']","['hamster', 'weasel']"
152,"['a large group of people standing around a table', 'a group of people standing around a table filled with vases .', 'a group of people standing around a table with a cake .']","['altar', 'throne']"
153,"['a woman wearing a blue shirt and a red tie .', 'a woman wearing a blue shirt and a tie .', 'a woman wearing a blue shirt and a pink tie .']","['hair slide', 'wig']"
154,"['a white and blue vase with flowers in it .', 'a white and blue vase with flowers in it', 'a white and blue vase with some flowers']","['sea anemone, anemone', 'coral reef']"
155,"['a tree in the middle of a park .', 'a tree in the middle of a forest .', 'a tree in the middle of a forest']","['lakeside, lakeshore', 'seashore, coast, seacoast, sea-coast']"
156,"['a woman holding a cat and a cat', 'a woman holding a cat in her arms next to a cat .', 'a woman holding a cat in her arms next to a dog .']","['Japanese spaniel', 'Pekinese, Pekingese, Peke']"
157,"['a person holding a doughnut in their hand .', 'a person holding a donut in their hand .', 'a person holding a hot dog in their hand .']","['beaker', 'beer glass']"
158,"['a bowl of food with a spoon and a spoon .', 'a bowl of food with a spoon and a spoon', 'a plate of food with a spoon and a bowl of fruit .']","['plate', 'hot pot, hotpot']"
159,"['a red truck is parked on the side of the road .', 'a red truck is parked in a parking lot .', 'a red truck is parked on the side of a road .']","['garbage truck, dustcart', 'moving van']"
160,"['a man holding a tennis racket in his hands .', 'a man standing in front of a wall holding a frisbee .', 'a man standing in front of a wall holding a skateboard .']","['notebook, notebook computer', 'racket, racquet']"
161,"['a group of young men playing a game of frisbee .', 'a group of people playing a game of frisbee .', 'a group of young men playing a game of soccer .']","['volleyball', 'prison, prison house']"
162,"['a large building with a clock on it .', ""a large building with a large clock on it 's side ."", 'a large building with a clock on it']","['solar dish, solar collector, solar furnace', 'gas pump, gasoline pump, petrol pump, island dispenser']"
163,"['a group of people walking down a street .', 'a group of people on a field with a kite .', 'a group of people on a field with a frisbee .']","['flagpole, flagstaff', 'lakeside, lakeshore']"
164,"['a plane is flying over a city street .', 'a plane is flying over a city street', 'a plane is flying over a city with trees .']","['geyser', 'aircraft carrier, carrier, flattop, attack aircraft carrier']"
165,"['a large clock tower towering over a city .', 'a clock tower in the middle of a city .', 'a clock tower in the middle of a city']","['mobile home, manufactured home', 'pole']"
166,"['a pizza sitting on top of a wooden cutting board .', 'a pizza sitting on top of a white plate .', 'a pizza sitting on top of a pan on a table .']","['pizza, pizza pie']"
167,"['a man is doing a trick on a skateboard', 'a man is doing a trick on a skateboard .', 'a man is doing a trick on his skateboard .']","['container ship, containership, container vessel', 'drilling platform, offshore rig']"
168,"['a close up of a cake on a table', 'a close up of a cake on a plate', 'a close up of a cake on a plate with a knife']","['jellyfish', 'balloon']"
169,"['a close up of a cake on a table', 'a close up of a cake on a plate', 'a close up of a cake on a plate with a knife']","['jellyfish', 'balloon']"
170,"['a close up of a cake on a table', 'a close up of a cake on a plate', 'a close up of a cake on a plate with a knife']","['jellyfish', 'balloon']"
171,"['a close up of a cake on a table', 'a close up of a cake on a plate', 'a close up of a cake on a plate with a knife']","['jellyfish', 'balloon']"
172,"['a close up of a cake on a table', 'a close up of a cake on a plate', 'a close up of a cake on a plate with a knife']","['jellyfish', 'balloon']"
173,"['a close up of a cake on a table', 'a close up of a cake on a plate', 'a close up of a cake on a plate with a knife']","['jellyfish', 'balloon']"
174,"['a close up of a cake on a table', 'a close up of a cake on a plate', 'a close up of a cake on a plate with a knife']","['jellyfish', 'balloon']"
175,"['a close up of a cake on a table', 'a close up of a cake on a plate', 'a close up of a cake on a plate with a knife']","['jellyfish', 'balloon']"
176,"['a close up of a cake on a table', 'a close up of a cake on a plate', 'a close up of a cake on a plate with a knife']","['jellyfish', 'balloon']"
177,"['a close up of a cake on a table', 'a close up of a cake on a plate', 'a close up of a cake on a plate with a knife']","['jellyfish', 'balloon']"
178,"['a close up of a cake on a table', 'a close up of a cake on a plate', 'a close up of a cake on a plate with a knife']","['jellyfish', 'balloon']"
179,"['a close up of a cake on a table', 'a close up of a cake on a plate', 'a close up of a cake on a plate with a knife']","['jellyfish', 'balloon']"
180,"['a close up of a cake on a table', 'a close up of a cake on a plate', 'a close up of a cake on a plate with a knife']","['jellyfish', 'balloon']"
181,"['a close up of a cake on a table', 'a close up of a cake on a plate', 'a close up of a cake on a plate with a knife']","['jellyfish', 'balloon']"
182,"['a close up of a cake on a table', 'a close up of a cake on a plate', 'a close up of a cake on a plate with a knife']","['jellyfish', 'balloon']"
183,"['a close up of a person holding a pair of scissors', 'a close up of a person holding a remote', 'a close up of a person holding a nintendo wii remote']","['nematode, nematode worm, roundworm', 'hook, claw']"
184,"['a man holding a baseball bat in his hands .', 'a man holding a baseball bat in his hand .', 'a man holding a baseball bat in his hands']","['web site, website, internet site, site', 'menu']"
